n	n*n	#proc	run	time [s]	distance
128	16384	8	14	0.004429	416.773
128	16384	8	15	0.004725	417.834
128	16384	8	16	0.004501	417.571
128	16384	8	17	0.004645	416.795
128	16384	8	18	0.004732	416.444
128	16384	8	19	0.004574	417.769
256	65536	1	0	0.010275	819.496
256	65536	1	1	0.010267	819.496
256	65536	1	2	0.010261	819.496
256	65536	1	3	0.010274	819.496
256	65536	1	4	0.010276	819.496
256	65536	1	5	0.010262	819.496
256	65536	1	6	0.010264	819.496
256	65536	1	7	0.010249	819.496
256	65536	1	8	0.010266	819.496
256	65536	1	9	0.010282	819.496
256	65536	1	10	0.010262	819.496
256	65536	1	11	0.010252	819.496
256	65536	1	12	0.010259	819.496
256	65536	1	13	0.010254	819.496
256	65536	1	14	0.010255	819.496
256	65536	1	15	0.01027	819.496
256	65536	1	16	0.010251	819.496
256	65536	1	17	0.010258	819.496
256	65536	1	18	0.010257	819.496
256	65536	1	19	0.010258	819.496
256	65536	2	0	0.012754	818.498
256	65536	2	1	0.012037	819.314
256	65536	2	2	0.012022	817.545
256	65536	2	3	0.012124	818.593
256	65536	2	4	0.011964	819.462
256	65536	2	5	0.011778	819.336
256	65536	2	6	0.012089	818.934
256	65536	2	7	0.012026	819.595
256	65536	2	8	0.01209	819.827
256	65536	2	9	0.012214	819.494
256	65536	2	10	0.012052	819.356
256	65536	2	11	0.012127	820.405
256	65536	2	12	0.012167	819.624
256	65536	2	13	0.012099	819.349
256	65536	2	14	0.012145	820.423
256	65536	2	15	0.012116	819.296
256	65536	2	16	0.012181	819.124
256	65536	2	17	0.01209	818.396
256	65536	2	18	0.011982	819.571
256	65536	2	19	0.012044	819.324
256	65536	3	0	0.011961	821.619
256	65536	3	1	0.011782	819.51
256	65536	3	2	0.01179	821.225
256	65536	3	3	0.011646	818.477
256	65536	3	4	0.011699	820.481
256	65536	3	5	0.011572	818.511
256	65536	3	6	0.011631	819.528
256	65536	3	7	0.011646	821.312
256	65536	3	8	0.011591	818.622
256	65536	3	9	0.011751	819.249
256	65536	3	10	0.011448	819.485
256	65536	3	11	0.011769	818.451
256	65536	3	12	0.011656	820.494
256	65536	3	13	0.011683	817.29
256	65536	3	14	0.01164	818.451
256	65536	3	15	0.011762	818.639
256	65536	3	16	0.011613	820.784
256	65536	3	17	0.011853	820.218
256	65536	3	18	0.011575	819.501
256	65536	3	19	0.011598	819.771
256	65536	4	0	0.011588	820.145
256	65536	4	1	0.011389	820.775
256	65536	4	2	0.011305	818.916
256	65536	4	3	0.011588	818.452
256	65536	4	4	0.011189	817.519
256	65536	4	5	0.011622	819.818
256	65536	4	6	0.011631	817.498
256	65536	4	7	0.011541	820.51
256	65536	4	8	0.011343	819.759
256	65536	4	9	0.011793	818.377
256	65536	4	10	0.01153	819.537
256	65536	4	11	0.01167	819.361
256	65536	4	12	0.011582	819.073
256	65536	4	13	0.011522	821.321
