n	n*n	#proc	run	time [s]	distance	#visited	time/node
128	16384	2	45	0.001426	203.421	6677	2.13569e-07
128	16384	2	46	0.001462	203.436	6806	2.1481e-07
128	16384	2	47	0.001408	203.254	6517	2.1605e-07
128	16384	2	48	0.001479	202.985	6578	2.2484e-07
128	16384	2	49	0.001378	203.345	6298	2.188e-07
128	16384	3	0	0.001465	203.191	5994	2.44411e-07
128	16384	3	1	0.001202	203.358	5985	2.00835e-07
128	16384	3	2	0.001297	203.539	6501	1.99508e-07
128	16384	3	3	0.001293	203.6	6303	2.0514e-07
128	16384	3	4	0.001305	203.199	6769	1.92791e-07
128	16384	3	5	0.001439	203.356	6841	2.10349e-07
128	16384	3	6	0.001286	203.032	6376	2.01694e-07
128	16384	3	7	0.00136	203.011	6463	2.10429e-07
128	16384	3	8	0.001316	203.34	6294	2.09088e-07
128	16384	3	9	0.00128	202.913	6483	1.97439e-07
128	16384	3	10	0.001342	203.111	6253	2.14617e-07
128	16384	3	11	0.001279	203.362	6447	1.98387e-07
128	16384	3	12	0.001227	203.27	5898	2.08037e-07
128	16384	3	13	0.001217	202.985	6237	1.95126e-07
128	16384	3	14	0.001408	203.734	7386	1.90631e-07
128	16384	3	15	0.001405	203.432	6950	2.02158e-07
128	16384	3	16	0.001262	201.9	6295	2.00477e-07
128	16384	3	17	0.001342	203.174	6556	2.04698e-07
128	16384	3	18	0.001312	204.564	7028	1.86682e-07
128	16384	3	19	0.001293	204.16	6720	1.92411e-07
128	16384	3	20	0.001319	203.6	6456	2.04306e-07
128	16384	3	21	0.001212	202.35	5903	2.05319e-07
128	16384	3	22	0.001411	203.538	6792	2.07744e-07
128	16384	3	23	0.001277	203.156	6419	1.98941e-07
128	16384	3	24	0.00128	203.283	6666	1.92019e-07
128	16384	3	25	0.001273	203.642	6534	1.94827e-07
128	16384	3	26	0.001322	203.584	6661	1.98469e-07
128	16384	3	27	0.001413	203.479	6920	2.04191e-07
128	16384	3	28	0.001247	203.148	6291	1.9822e-07
128	16384	3	29	0.001178	202.438	5939	1.9835e-07
128	16384	3	30	0.00133	203.194	6736	1.97447e-07
128	16384	3	31	0.001343	204.034	6898	1.94694e-07
128	16384	3	32	0.001398	203.201	6884	2.0308e-07
128	16384	3	33	0.001248	203.527	6346	1.96659e-07
128	16384	3	34	0.001216	202.584	6074	2.00198e-07
128	16384	3	35	0.001224	203.539	6217	1.9688e-07
128	16384	3	36	0.001337	203.476	6942	1.92596e-07
128	16384	3	37	0.001438	204.421	6852	2.09866e-07
128	16384	3	38	0.001295	203.336	6732	1.92365e-07
128	16384	3	39	0.001303	203.623	6471	2.0136e-07
128	16384	3	40	0.00128	203.452	6179	2.07153e-07
128	16384	3	41	0.001265	203.484	6229	2.03082e-07
128	16384	3	42	0.001319	203.522	6338	2.0811e-07
128	16384	3	43	0.001263	203.544	6536	1.93237e-07
128	16384	3	44	0.001363	202.488	6369	2.14005e-07
128	16384	3	45	0.00128	203.422	6399	2.00031e-07
128	16384	3	46	0.001328	203.501	6667	1.9919e-07
128	16384	3	47	0.001323	202.898	6541	2.02263e-07
128	16384	3	48	0.001269	203.623	6566	1.93268e-07
128	16384	3	49	0.001186	202.451	5563	2.13194e-07
128	16384	4	0	0.001296	202.329	6230	2.08026e-07
128	16384	4	1	0.001267	203.197	6875	1.84291e-07
128	16384	4	2	0.001286	203.16	6640	1.93675e-07
128	16384	4	3	0.001164	202.47	6221	1.87108e-07
128	16384	4	4	0.001244	202.326	6202	2.0058e-07
128	16384	4	5	0.001276	203.637	6626	1.92575e-07
128	16384	4	6	0.001134	202.537	5758	1.96943e-07
128	16384	4	7	0.001387	204.008	6822	2.03313e-07
128	16384	4	8	0.001269	203.568	6552	1.93681e-07
128	16384	4	9	0.001293	203.306	6589	1.96236e-07
128	16384	4	10	0.001254	202.985	6557	1.91246e-07
128	16384	4	11	0.001185	203.591	6072	1.95158e-07
128	16384	4	12	0.001275	203.603	6020	2.11794e-07
128	16384	4	13	0.001187	203.446	6192	1.91699e-07
128	16384	4	14	0.001168	202.332	5842	1.99932e-07
128	16384	4	15	0.001264	202.86	6908	1.82976e-07
128	16384	4	16	0.001175	203.587	6000	1.95833e-07
128	16384	4	17	0.001336	203.189	6926	1.92896e-07
128	16384	4	18	0.00123	203.047	6310	1.94929e-07
128	16384	4	19	0.001153	202.998	5760	2.00174e-07
128	16384	4	20	0.00132	203.966	7079	1.86467e-07
128	16384	4	21	0.001335	203.318	6992	1.90932e-07
128	16384	4	22	0.001302	203.469	6196	2.10136e-07
128	16384	4	23	0.00115	202.731	6142	1.87235e-07
128	16384	4	24	0.001243	203.17	6687	1.85883e-07
128	16384	4	25	0.001196	203.551	6156	1.94282e-07
128	16384	4	26	0.001213	203.543	6451	1.88033e-07
128	16384	4	27	0.001406	204.496	6887	2.04153e-07
128	16384	4	28	0.00117	203.328	6033	1.93933e-07
128	16384	4	29	0.001175	202.355	6022	1.95118e-07
128	16384	4	30	0.001164	203.537	6027	1.93131e-07
128	16384	4	31	0.00123	203.583	6515	1.88795e-07
128	16384	4	32	0.001207	202.318	6276	1.9232e-07
128	16384	4	33	0.001226	203.463	6550	1.87176e-07
128	16384	4	34	0.001071	202.328	5439	1.96911e-07
128	16384	4	35	0.001331	203.083	6983	1.90606e-07
128	16384	4	36	0.001155	202.459	6319	1.82782e-07
128	16384	4	37	0.001138	203.55	6263	1.81702e-07
128	16384	4	38	0.001149	202.288	6069	1.89323e-07
128	16384	4	39	0.0012	203.444	6101	1.96689e-07
128	16384	4	40	0.001287	203.25	6128	2.1002e-07
128	16384	4	41	0.001278	202.933	6755	1.89193e-07
128	16384	4	42	0.001215	203.358	6354	1.91218e-07
128	16384	4	43	0.001049	201.489	5150	2.03689e-07
128	16384	4	44	0.001188	203.605	6384	1.8609e-07
128	16384	4	45	0.00115	202.372	5721	2.01014e-07
128	16384	4	46	0.00117	203.179	6512	1.79668e-07
128	16384	4	47	0.001182	202.026	6414	1.84284e-07
128	16384	4	48	0.00133	203.577	6623	2.00815e-07
128	16384	4	49	0.00113	202.234	5906	1.91331e-07
128	16384	5	0	0.001292	203.587	6334	2.03979e-07
128	16384	5	1	0.001249	204.019	7091	1.76139e-07
128	16384	5	2	0.001117	203.56	6283	1.77781e-07
128	16384	5	3	0.00134	204.339	6638	2.01868e-07
128	16384	5	4	0.001195	203.012	6461	1.84956e-07
128	16384	5	5	0.001142	203.174	6579	1.73583e-07
128	16384	5	6	0.001103	202.278	5181	2.12893e-07
128	16384	5	7	0.001021	202.347	5920	1.72466e-07
128	16384	5	8	0.001099	202.597	5839	1.88217e-07
128	16384	5	9	0.001075	201.904	5972	1.80007e-07
128	16384	5	10	0.001067	203.019	6287	1.69715e-07
128	16384	5	11	0.001277	203.908	6949	1.83767e-07
128	16384	5	12	0.001066	203.018	6378	1.67137e-07
128	16384	5	13	0.00109	202.434	5996	1.81788e-07
128	16384	5	14	0.001217	203.587	6401	1.90127e-07
128	16384	5	15	0.00117	203.055	6701	1.74601e-07
128	16384	5	16	0.001194	202.89	6834	1.74715e-07
128	16384	5	17	0.001168	203.186	6405	1.82358e-07
128	16384	5	18	0.0011	201.937	6112	1.79974e-07
128	16384	5	19	0.001322	204.185	7274	1.81743e-07
128	16384	5	20	0.001139	203.557	6646	1.71381e-07
128	16384	5	21	0.001139	202.998	6809	1.67279e-07
128	16384	5	22	0.001152	202.312	6122	1.88174e-07
128	16384	5	23	0.001084	203.584	5909	1.83449e-07
128	16384	5	24	0.00109	202.426	5930	1.83811e-07
128	16384	5	25	0.001172	202.55	6313	1.85649e-07
128	16384	5	26	0.001193	203.62	6574	1.81472e-07
128	16384	5	27	0.001258	204.567	6853	1.83569e-07
128	16384	5	28	0.001117	203.544	6349	1.75933e-07
